prompt_idx,transformation,layer,harmful_proj,harmless_proj,gap
2,nested,0,0.156005859375,-0.1605224609375,0.3165283203125
2,nested,1,2.728515625,-1.7197265625,4.4482421875
2,nested,2,2.912109375,-3.58984375,6.501953125
2,nested,3,3.244140625,-3.544921875,6.7890625
2,nested,4,2.794921875,-5.2578125,8.052734375
2,nested,5,4.875,-6.171875,11.046875
2,nested,6,3.478515625,-5.58984375,9.068359375
2,nested,7,2.154296875,-5.23046875,7.384765625
2,nested,8,2.173828125,-7.79296875,9.966796875
2,nested,9,2.439453125,-9.6875,12.126953125
2,nested,10,5.6953125,-9.90625,15.6015625
2,nested,11,5.3671875,-10.0703125,15.4375
2,nested,12,8.6484375,-7.8828125,16.53125
2,nested,13,7.95703125,-8.46875,16.42578125
2,nested,14,8.9375,-7.94921875,16.88671875
2,nested,15,9.203125,-8.0859375,17.2890625
2,nested,16,10.3671875,-7.6796875,18.046875
2,nested,17,10.71875,-7.51171875,18.23046875
2,nested,18,9.953125,-8.8359375,18.7890625
2,nested,19,13.2890625,-6.35546875,19.64453125
2,nested,20,5.421875,-16.71875,22.140625
2,nested,21,9.5625,-15.8125,25.375
2,nested,22,14.203125,-13.2734375,27.4765625
2,nested,23,22.734375,-8.3984375,31.1328125
2,nested,24,25.796875,-8.8515625,34.6484375
2,nested,25,38.0625,-1.6943359375,39.7568359375
2,nested,26,37.0,-7.52734375,44.52734375
2,nested,27,40.09375,-11.0703125,51.1640625
2,nested,28,90.5,56.84375,33.65625
3,direct,0,0.1832275390625,-0.130126953125,0.3133544921875
