layer,head,format,direct_content_attn,direct_format_attn,formatted_content_attn,formatted_format_attn,content_shift,format_shift,routing_divergence
12,6,json,,,,,,,
12,7,json,,,,,,,
12,8,json,,,,,,,
12,9,json,,,,,,,
12,10,json,,,,,,,
12,11,json,,,,,,,
13,0,tool_call,,,,,,,
13,1,tool_call,,,,,,,
13,2,tool_call,,,,,,,
13,3,tool_call,,,,,,,
13,4,tool_call,,,,,,,
13,5,tool_call,,,,,,,
13,6,tool_call,,,,,,,
13,7,tool_call,,,,,,,
13,8,tool_call,,,,,,,
13,9,tool_call,,,,,,,
13,10,tool_call,,,,,,,
13,11,tool_call,,,,,,,
13,0,system,,,,,,,
13,1,system,,,,,,,
13,2,system,,,,,,,
13,3,system,,,,,,,
13,4,system,,,,,,,
13,5,system,,,,,,,
13,6,system,,,,,,,
13,7,system,,,,,,,
13,8,system,,,,,,,
13,9,system,,,,,,,
13,10,system,,,,,,,
13,11,system,,,,,,,
13,0,json,,,,,,,
13,1,json,,,,,,,
13,2,json,,,,,,,
13,3,json,,,,,,,
13,4,json,,,,,,,
13,5,json,,,,,,,
13,6,json,,,,,,,
13,7,json,,,,,,,
13,8,json,,,,,,,
13,9,json,,,,,,,
13,10,json,,,,,,,
13,11,json,,,,,,,
14,0,tool_call,,,,,,,
14,1,tool_call,,,,,,,
14,2,tool_call,,,,,,,
14,3,tool_call,,,,,,,
14,4,tool_call,,,,,,,
14,5,tool_call,,,,,,,
14,6,tool_call,,,,,,,
14,7,tool_call,,,,,,,
14,8,tool_call,,,,,,,
14,9,tool_call,,,,,,,
14,10,tool_call,,,,,,,
14,11,tool_call,,,,,,,
14,0,system,,,,,,,
14,1,system,,,,,,,
14,2,system,,,,,,,
14,3,system,,,,,,,
14,4,system,,,,,,,
14,5,system,,,,,,,
14,6,system,,,,,,,
14,7,system,,,,,,,
14,8,system,,,,,,,
14,9,system,,,,,,,
14,10,system,,,,,,,
14,11,system,,,,,,,
14,0,json,,,,,,,
14,1,json,,,,,,,
14,2,json,,,,,,,
14,3,json,,,,,,,
14,4,json,,,,,,,
14,5,json,,,,,,,
14,6,json,,,,,,,
14,7,json,,,,,,,
14,8,json,,,,,,,
14,9,json,,,,,,,
14,10,json,,,,,,,
14,11,json,,,,,,,
15,0,tool_call,,,,,,,
15,1,tool_call,,,,,,,
15,2,tool_call,,,,,,,
15,3,tool_call,,,,,,,
15,4,tool_call,,,,,,,
15,5,tool_call,,,,,,,
15,6,tool_call,,,,,,,
15,7,tool_call,,,,,,,
15,8,tool_call,,,,,,,
15,9,tool_call,,,,,,,
15,10,tool_call,,,,,,,
15,11,tool_call,,,,,,,
15,0,system,,,,,,,
15,1,system,,,,,,,
15,2,system,,,,,,,
15,3,system,,,,,,,
15,4,system,,,,,,,
15,5,system,,,,,,,
15,6,system,,,,,,,
15,7,system,,,,,,,
15,8,system,,,,,,,
15,9,system,,,,,,,
15,10,system,,,,,,,
15,11,system,,,,,,,
15,0,json,,,,,,,
15,1,json,,,,,,,
15,2,json,,,,,,,
15,3,json,,,,,,,
15,4,json,,,,,,,
15,5,json,,,,,,,
15,6,json,,,,,,,
15,7,json,,,,,,,
15,8,json,,,,,,,
15,9,json,,,,,,,
15,10,json,,,,,,,
15,11,json,,,,,,,
16,0,tool_call,,,,,,,
16,1,tool_call,,,,,,,
16,2,tool_call,,,,,,,
16,3,tool_call,,,,,,,
16,4,tool_call,,,,,,,
16,5,tool_call,,,,,,,
16,6,tool_call,,,,,,,
16,7,tool_call,,,,,,,
16,8,tool_call,,,,,,,
16,9,tool_call,,,,,,,
16,10,tool_call,,,,,,,
16,11,tool_call,,,,,,,
16,0,system,,,,,,,
16,1,system,,,,,,,
16,2,system,,,,,,,
16,3,system,,,,,,,
16,4,system,,,,,,,
16,5,system,,,,,,,
16,6,system,,,,,,,
16,7,system,,,,,,,
16,8,system,,,,,,,
16,9,system,,,,,,,
16,10,system,,,,,,,
16,11,system,,,,,,,
16,0,json,,,,,,,
16,1,json,,,,,,,
16,2,json,,,,,,,
16,3,json,,,,,,,
16,4,json,,,,,,,
16,5,json,,,,,,,
16,6,json,,,,,,,
16,7,json,,,,,,,
16,8,json,,,,,,,
16,9,json,,,,,,,
16,10,json,,,,,,,
16,11,json,,,,,,,
17,0,tool_call,,,,,,,
17,1,tool_call,,,,,,,
17,2,tool_call,,,,,,,
17,3,tool_call,,,,,,,
17,4,tool_call,,,,,,,
17,5,tool_call,,,,,,,
17,6,tool_call,,,,,,,
17,7,tool_call,,,,,,,
17,8,tool_call,,,,,,,
17,9,tool_call,,,,,,,
17,10,tool_call,,,,,,,
17,11,tool_call,,,,,,,
17,0,system,,,,,,,
17,1,system,,,,,,,
17,2,system,,,,,,,
17,3,system,,,,,,,
17,4,system,,,,,,,
17,5,system,,,,,,,
17,6,system,,,,,,,
